,Name,Address,Rating,Latitude,Longitude,Google Maps Link
72,Studio FASCINACE,"Újezd 450, 118 00 Malá Strana, Czechia",5.0,50.0834638,14.4049086,https://www.google.com/maps/place/?q=place_id:ChIJtxvUTuOUC0cRGim3hxKIuBo
73,The Pilates Room Prague,"Jičínská 1346/6, 130 00 Praha 3-Vinohrady, Czechia",4.9,50.077341,14.4612348,https://www.google.com/maps/place/?q=place_id:ChIJ_fJJLRSTC0cRfVgVdv2K7ZE
74,"Arha, studio zdraví a relaxace","V. P. Čkalova 797/26, 160 00 Praha 6-Bubeneč, Czechia",4.9,50.10115769999999,14.4015033,https://www.google.com/maps/place/?q=place_id:ChIJx680hSaVC0cRpAb8JfBpwyg
75,Sports Center YMCA,"Na Poříčí 1041/12, 110 00 Nové Město, Czechia",4.2,50.0891332,14.4311669,https://www.google.com/maps/place/?q=place_id:ChIJRz30tOqUC0cR5ovNFFScjHM
76,"My Sky Studio - Aerial silks, Aerial hoop, Pole dance, Stretching, Fly yoga","Sokolovská 32/22, 186 00 Karlín, Czechia",4.9,50.0915347,14.4408421,https://www.google.com/maps/place/?q=place_id:ChIJS3P_zxqVC0cRMGWPD3WWqpM
77,Mothergood,"YOGA BLUE ART, nám. J. z Poděbrad 1658, 130 00 Vinohrady, Czechia",5.0,50.0788484,14.4505776,https://www.google.com/maps/place/?q=place_id:ChIJJSdvBkSVC0cRhRIxOB66vDY
78,Poppy Pilates Prague,"U Půjčovny 952/2, 110 00 Nové Město, Czechia",4.5,50.0838437,14.4305654,https://www.google.com/maps/place/?q=place_id:ChIJLY28YBiVC0cRvonx4iwzGn0
79,Studio Barre Prague,"Patočkova 2386/83, 160 00 Praha 6-Břevnov, Czechia",4.6,50.0851969,14.3647773,https://www.google.com/maps/place/?q=place_id:ChIJG8jRI5qVC0cR9ouiqxIBOGM
80,True Pilates Prague,"Purkyňova 74, 110 00 Nové Město, Czechia",4.6,50.0811167,14.4200793,https://www.google.com/maps/place/?q=place_id:ChIJX8RA_-2UC0cRxyW4zRrqQE4
81,Spirit Space,"Žitná 7, 110 00 Nové Město, Czechia",3.3,50.07711510000001,14.4280488,https://www.google.com/maps/place/?q=place_id:ChIJiX5hQ3CVC0cRrnWAN8T7moM
82,YOGA & ART,"Bělohorská 262/35, 169 00 Praha 6-Břevnov, Czechia",4.6,50.0843071,14.3753447,https://www.google.com/maps/place/?q=place_id:ChIJlQEQsw2VC0cREdGKaSzaMis
83,Balance Point,"Na Bojišti 20, 120 00 Nové Město, Czechia",5.0,50.0738875,14.4284226,https://www.google.com/maps/place/?q=place_id:ChIJVXjdqU-VC0cR0F65ptvYtSY
